"№","Web-Site","Name","Info","Time"
"0","Datacamp.com","Introduction to Python ","          Master the basics of data analysis in Python. Expand your skillset by learning scientific computing with numpy.         ","4 hours"
"1","Datacamp.com","Introduction to SQL ","          Master the basics of querying tables in relational databases such as MySQL, SQL Server, and PostgreSQL.         ","4 hours"
"2","Datacamp.com","Introduction to R ","          Master the basics of data analysis by manipulating common data structures such as vectors, matrices, and data frames.         ","4 hours"
"3","Datacamp.com","Data Science for Everyone ","          An introduction to data science with no coding involved.         ","2 hours"
"4","Datacamp.com","Intermediate Python ","          Level up your data science skills by creating visualizations using Matplotlib and manipulating DataFrames with pandas.         ","4 hours"
"5","Datacamp.com","Joining Data in SQL ","          Join two or three tables together into one, combine tables using set theory, and work with subqueries in PostgreSQL.         ","5 hours"
"6","Datacamp.com","Introduction to Data Science in Python ","          Dive into data science using Python and learn how to effectively analyze and visualize your data.         ","4 hours"
"7","Datacamp.com","Data Manipulation with pandas ","          Use the world’s most popular Python data science package to manipulate data and calculate summary statistics.         ","4 hours"
"8","Datacamp.com","Intermediate R ","          Continue your journey to becoming an R ninja by learning about conditional statements, loops, and vector functions.         ","6 hours"
"9","Datacamp.com","Introduction to Power BI ","          Gain a 360° overview of how to explore and use Power BI to build impactful reports.         ","6 hours"
"10","Datacamp.com","Supervised Learning with scikit learn","           Learn how to build and tune predictive models and evaluate how well they'll perform on unseen data.","4 hours"
"11","Datacamp.com","Introduction to the Tidyverse ","          Get started on the path to exploring and visualizing your own data with the tidyverse, a powerful and popular collection of data science tools within R.         ","4 hours"
"12","Datacamp.com","Python Data Science Toolbox (Part 1) ","          Learn the art of writing your own functions in Python, as well as key concepts like scoping and error handling.         ","3 hours"
"13","Datacamp.com","Python Data Science Toolbox (Part 2) ","          Continue to build your modern Data Science skills by learning about iterators and list comprehensions.         ","4 hours"
"14","Datacamp.com","Data Engineering for Everyone ","          Discover how data engineers lay the groundwork that makes data science possible. No coding involved!         ","2 hours"
"15","Datacamp.com","Introduction to Tableau ","          Get started with Tableau, a widely used business intelligence (BI) and analytics software to explore, visualize, and securely share data.         ","6 hours"
"16","Datacamp.com","Machine Learning for Everyone ","          An introduction to machine learning with no coding involved.         ","2 hours"
"17","Datacamp.com","Intermediate SQL ","          Master the complex SQL queries necessary to answer a wide variety of data science questions and prepare robust data sets for analysis in PostgreSQL.         ","4 hours"
"18","Datacamp.com","Introduction to Data Visualization with ggplot2 ","          Learn to produce meaningful and beautiful data visualizations with ggplot2 by understanding the grammar of graphics.         ","4 hours"
"19","Datacamp.com","Introduction to Data Visualization with Matplotlib ","          Learn how to create, customize, and share data visualizations using Matplotlib.         ","4 hours"
"20","Datacamp.com","Joining Data with pandas ","          Learn to combine data from multiple tables by joining data together using pandas.         ","4 hours"
"21","Datacamp.com","Introduction to Importing Data in Python ","          Learn to import data into Python from various sources, such as Excel, SQL, SAS and right from the web.         ","3 hours"
"22","Datacamp.com","Introduction to SQL Server ","          Become proficient at using SQL Server to perform common data manipulation tasks.         ","4 hours"
"23","Datacamp.com","Data Manipulation with dplyr  ","          Learn to transform and manipulate your data using dplyr.          ","4 hours"
"24","Datacamp.com","Data Analysis in Excel ","          Learn how to analyze data in Excel.         ","4 hours"
"25","Datacamp.com","Introduction to Statistics in R ","          Grow your statistical skills and learn how to collect, analyze, and draw accurate conclusions from data.         ","4 hours"
"26","Datacamp.com","Cleaning Data in Python ","          Learn to diagnose and treat dirty data and develop the skills needed to transform your raw data into accurate insights!          ","4 hours"
"27","Datacamp.com","Statistical Thinking in Python (Part 1) ","          Build the foundation you need to think statistically and to speak the language of your data.         ","3 hours"
"28","Datacamp.com","Writing Efficient Python Code ","          Learn to write efficient code that executes quickly and allocates resources skillfully to avoid unnecessary overhead.         ","4 hours"
"29","Datacamp.com","Introduction to Data Visualization with Seaborn ","          Learn how to create informative and attractive visualizations in Python using the Seaborn library.         ","4 hours"
"30","Datacamp.com","Unsupervised Learning in Python ","          Learn how to cluster, transform, visualize, and extract insights from unlabeled datasets using scikit learn and scipy.","4 hours"
"31","Datacamp.com","Introduction to Relational Databases in SQL ","          Learn how to create one of the most efficient ways of storing data   relational databases! ","4 hours"
"32","Datacamp.com","Intermediate Importing Data in Python ","          Improve your Python data importing skills and learn to work with web and API data.         ","2 hours"
"33","Datacamp.com","Exploratory Data Analysis in Python ","          Learn how to explore, visualize, and extract insights from data.          ","4 hours"
"34","Datacamp.com","Introduction to PySpark ","          Learn to implement distributed data management and machine learning in Spark using the PySpark package.","4 hours"
"35","Datacamp.com","Introduction to Importing Data in R ","          In this course, you will learn to read CSV, XLS, and text files in R using tools like readxl and data.table.         ","3 hours"
"36","Datacamp.com","Object Oriented Programming in Python","           Dive in and learn how to create classes and leverage inheritance and polymorphism to reuse and optimize code.","4 hours"
"37","Datacamp.com","Introduction to Git ","          This course is an introduction to version control with Git for data scientists.          ","4 hours"
"38","Datacamp.com","Writing Functions in Python ","          Learn to use best practices to write maintainable, reusable, complex functions with good documentation.         ","4 hours"
"39","Datacamp.com","Data Analysis in Spreadsheets ","          Learn how to analyze data with spreadsheets using functions such as SUM(), AVERAGE(), and VLOOKUP().         ","3 hours"
"40","Datacamp.com","Introduction to Deep Learning in Python ","          Learn the fundamentals of neural networks and how to build deep learning models using Keras 2.0.         ","4 hours"
"41","Datacamp.com","Machine Learning with Tree Based Models in Python","           In this course, you'll learn how to use tree",""
"42","Datacamp.com","Exploratory Data Analysis in SQL ","          Learn how to explore what's available in a database: the tables, relationships between them, and data stored in them.         ","4 hours"
"43","Datacamp.com","Introduction to Data Engineering ","          Learn about the world of data engineering with an overview of all its relevant topics and tools!         ","4 hours"
"44","Datacamp.com","Introduction to Shell ","          The Unix command line helps users combine existing programs in new ways, automate repetitive tasks, and run programs on clusters and clouds.          ","4 hours"
